"story_id","story_title","story_english_title","story_tag_name"
1,"वह हँस दिया","Veh Hans Diyaa",""
2,"Smile Please!","Smile Please!",""
4,"ସେ ହସିଦେଲା","Se Hasidela",""
5,"ਉਹ ਹੱਸ ਪਿਆ","Oh Has Pia",""
6,"একটুখানি হাসি","Ektukhani Hashi",""
7,"Fat King Thin Dog","Fat King Thin Dog",""
8,"मोटा राजा दुबला कुत्ता","Mota Raja Dubla Kutta",""
9,"ಡುಮ್ಮರಾಜ  ಸಣಕಲು ನಾಯಿ","Dummaraja Sanakalu Naayi",""
10,"लठ्ठ राजाचा कुत्रा","Lattha Raajaachaa Kutraa",""
11,"જાડો - પાડો રાજા અને સુકલકડી કુતરો","Jado Pado Raja Ane Sukalakadi Kutaro",""
12,"ਮੋਟਾ  ਰਾਜਾ ਪਤਲਾ ਕੁੱਤਾ","Mota Raja Patla Kutta",""
13,"মোটা রাজার কুকুর","Mota Rajaar Kukur",""
14,"ମୋଟା ରାଜା ପତଳା କୁକୁର","Mota Raja Patala Kukura",""
15,"वारा","Vaaraa",""
16,"Vayu, the Wind","Vayu, the Wind",""
18,"ବାୟୁ ମାନେ ପବନ","Bayu Mane Paban",""
21,"Chuskit Goes to School!","Chuskit Goes to School!",""
22,"ಚುಸ್ಕಿಟ್ ಶಾಲೆಗೆ ಹೋಗುತ್ತಾಳೆ ","Chuskit Shalege Hoguthale",""
33,"Not Now, Not Now!","Not Now, Not Now!",""
34,"अभी नहीं, अभी नहीं!","Abhi Nahin, Abhi Nahin!",""
35,"आत्ता नाही, आत्ता नाही  ","Atta Nahi Atta Nahi",""
36,"ಈಗಲ್ಲ,ಈಗಲ್ಲ!","Egalla, Egalla!",""
37,"ఇప్పుడు కాదు, ఇప్పుడు కాదు!","Ippudu Kaadu, Ippudu Kaadu!",""
38,"Counting on Moru","Counting on Moru",""
40,"Listen to My Body","Listen to My Body",""
41,"ನನ್ನ ದೇಹಕ್ಕೆ ಕಿವಿಗೊಡಿರಿ","Nanna Dehakke Kivigodiri",""
42,"ऐका आवाज शरीराचे!!!","Aikaa Aawaaj Shareeraache!!!","Aikaa Aawaaj Shareeraache!!!"
42,"ऐका आवाज शरीराचे!!!","Aikaa Aawaaj Shareeraache!!!","organs"
42,"ऐका आवाज शरीराचे!!!","Aikaa Aawaaj Shareeraache!!!","parts"
42,"ऐका आवाज शरीराचे!!!","Aikaa Aawaaj Shareeraache!!!","body"
42,"ऐका आवाज शरीराचे!!!","Aikaa Aawaaj Shareeraache!!!","intuition"
42,"ऐका आवाज शरीराचे!!!","Aikaa Aawaaj Shareeraache!!!","explore"
42,"ऐका आवाज शरीराचे!!!","Aikaa Aawaaj Shareeraache!!!","self"
42,"ऐका आवाज शरीराचे!!!","Aikaa Aawaaj Shareeraache!!!","observe"
42,"ऐका आवाज शरीराचे!!!","Aikaa Aawaaj Shareeraache!!!","attention"
42,"ऐका आवाज शरीराचे!!!","Aikaa Aawaaj Shareeraache!!!","curious"
42,"ऐका आवाज शरीराचे!!!","Aikaa Aawaaj Shareeraache!!!","psychology"
42,"ऐका आवाज शरीराचे!!!","Aikaa Aawaaj Shareeraache!!!","conscious"
42,"ऐका आवाज शरीराचे!!!","Aikaa Aawaaj Shareeraache!!!","conscience"
42,"ऐका आवाज शरीराचे!!!","Aikaa Aawaaj Shareeraache!!!","child"
42,"ऐका आवाज शरीराचे!!!","Aikaa Aawaaj Shareeraache!!!","childhood"
42,"ऐका आवाज शरीराचे!!!","Aikaa Aawaaj Shareeraache!!!","innocence"
42,"ऐका आवाज शरीराचे!!!","Aikaa Aawaaj Shareeraache!!!","Listen to My Body"
43,"મારાં શરીરને સાંભળો ","Maraa Sharirne Sambhado",""
45,"என் உடல் பேசுவதைக் கேளுங்கள்","En Udal Pesuvadai Kelungal",""
46,"শৰীৰৰ কথা শুনো","Harirar Katha Huna",""
47,"चुप! मेरी नाक कुछ कह रही है... ","Listen to my body...",""
49,"""My fish!""  ""No, my fish!""","""My fish! No, my fish!""",""
50,"“मेरी मछली!” “नहीं, मेरी मछली!”","Meri Machli! Nahin, Meri Machli!",""
